L0,L1,L2,L3,L4,Graph
-0.12452474,,,,,122
1.0,,,,,122
0.26161122,,,,,122
-0.70754415,,,,,122
0.29290926,,,,,122
1.0,,,,,131
0.560095,,,,,131
-0.3865643,,,,,133
0.09683929,,,,,133
0.7944279,,,,,133
0.8970618,,,,,138
1.0,,,,,146
0.7108769,,,,,146
-0.88925713,,,,,146
-1.0,,,,,146
0.084292024,,,,,146
-0.6763284,,,,,146
0.70440745,,,,,147
-0.3026169,,,,,147
-0.5707935,,,,,147
0.98643655,,,,,147
-0.64669526,,,,,147
-0.69576734,,,,,147
-0.8255482,,,,,147
0.12386818,,,,,147
-0.69346964,,,,,147
-0.057222277,,,,,147
0.7242012,,,,,148
0.33954823,,,,,148
0.56232715,,,,,148
-0.1493878,,,,,148
-0.8472411,,,,,148
-0.75567293,,,,,148
0.81159085,,,,,148
-1.0,,,,,148
-0.7316102,,,,,148
0.43733734,,,,,148
-0.12830365,,,,,148
0.88294125,,,,,148
-0.43690768,,,,,148
-0.85174495,,,,,148
0.30538765,,,,,148
-0.79308236,,,,,148
-0.030128002,,,,,148
-0.94799805,,,,,148
0.6594646,,,,,148
-0.9569222,,,,,148
-0.8955434,,,,,148
-0.10678479,,,,,148
0.6592884,,,,,148
-0.72819996,,,,,148
0.31986406,,,,,148
0.091507465,,,,,148
0.46805805,,,,,148
-0.13567635,,,,,148
-0.64247435,,,,,148
0.43164197,,,,,148
0.13014248,,,,,148
-0.9553643,,,,,148
0.37947536,,,,,148
-1.0,,,,,148
-0.5431191,,,,,148
0.9187121,,,,,148
-0.9658632,,,,,148
-1.0,,,,,148
-1.0,,,,,148
0.26353168,,,,,148
0.1509514,,,,,148
-1.0,,,,,148
-1.0,,,,,149
0.5865226,,,,,149
-0.9952942,,,,,149
0.40706712,,,,,149
-0.74887663,,,,,149
1.0,,,,,149
-0.8413347,,,,,149
-0.9660896,,,,,149
-0.44153693,,,,,149
0.105020046,,,,,149
0.034713604,,,,,149
-1.0,,,,,149
-0.8362627,,,,,149
-0.7729337,,,,,149
1.0,,,,,149
-0.20469692,,,,,149
0.7247927,,,,,149
-0.9245368,,,,,149
0.6113087,,,,,149
-0.17030443,,,,,149
-0.06814435,,,,,149
-0.33676344,,,,,149
-0.83307445,,,,,149
-1.0,,,,,149
-0.08293538,,,,,149
0.8701226,,,,,149
-1.0,,,,,149
-0.95237255,,,,,149
0.33096617,,,,,150
0.037312508,,,,,150
-0.34286886,,,,,150
1.0,,,,,150
0.9523919,,,,,150
-0.6736165,,,,,150
-0.030827075,,,,,150
-0.24004173,,,,,150
0.8195254,,,,,150
-0.7075875,,,,,150
-0.77836823,,,,,150
0.7107832,,,,,150
0.6147284,,,,,150
-1.0,,,,,150
-1.0,,,,,150
0.20033906,,,,,150
-0.5342142,,,,,150
-0.1316117,,,,,150
0.4443692,,,,,150
0.18918398,,,,,150
-0.03262731,,,,,150
0.20787469,,,,,150
-0.1626938,,,,,150
-0.7627803,,,,,150
0.5239354,,,,,150
0.840907,,,,,150
0.96443874,,,,,150
